t,x,y
0.00E+00,0.00E+00,0.00E+00
6.70E-02,-5.56E+00,0.00E+00
1.34E-01,-1.03E+01,0.00E+00
2.00E-01,-1.37E+01,0.00E+00
2.67E-01,-1.97E+01,0.00E+00
3.34E-01,-2.56E+01,0.00E+00
4.00E-01,-3.25E+01,0.00E+00
4.67E-01,-3.76E+01,0.00E+00
5.34E-01,-4.44E+01,0.00E+00
6.00E-01,-5.09E+01,0.00E+00
6.67E-01,-5.81E+01,0.00E+00
7.34E-01,-6.37E+01,0.00E+00
8.00E-01,-7.27E+01,0.00E+00
8.67E-01,-7.86E+01,0.00E+00
9.34E-01,-8.63E+01,0.00E+00
1.00E+00,-9.32E+01,0.00E+00
1.07E+00,-1.03E+02,0.00E+00
1.13E+00,-1.12E+02,0.00E+00
1.20E+00,-1.23E+02,0.00E+00
1.27E+00,-1.33E+02,0.00E+00
1.33E+00,-1.42E+02,0.00E+00
1.40E+00,-1.52E+02,0.00E+00
1.47E+00,-1.63E+02,0.00E+00
1.53E+00,-1.72E+02,0.00E+00
1.60E+00,-1.84E+02,0.00E+00
1.67E+00,-1.94E+02,0.00E+00
1.73E+00,-2.05E+02,0.00E+00
1.80E+00,-2.18E+02,0.00E+00
1.87E+00,-2.28E+02,0.00E+00
1.93E+00,-2.38E+02,0.00E+00
2.00E+00,-2.50E+02,0.00E+00
2.07E+00,-2.61E+02,0.00E+00