,mass_A,
t,x,y
2.67E+00,1.46E+01,-6.48E+00
2.71E+00,1.42E+01,-6.45E+00
2.79E+00,1.25E+01,-6.32E+00
2.83E+00,1.15E+01,-6.37E+00
2.88E+00,1.08E+01,-6.34E+00
2.92E+00,1.01E+01,-6.31E+00
2.96E+00,9.35E+00,-6.30E+00
3.00E+00,8.58E+00,-6.28E+00
3.04E+00,7.73E+00,-6.26E+00
3.08E+00,6.95E+00,-6.25E+00
3.13E+00,6.12E+00,-6.23E+00
3.17E+00,5.53E+00,-6.20E+00
3.21E+00,4.87E+00,-6.18E+00
3.25E+00,3.71E+00,-6.18E+00
3.29E+00,2.98E+00,-6.17E+00
3.33E+00,2.36E+00,-6.15E+00
3.38E+00,1.69E+00,-6.14E+00
3.42E+00,1.03E+00,-6.12E+00
3.46E+00,3.94E-01,-6.10E+00
3.50E+00,-1.60E-01,-6.09E+00
3.54E+00,-1.06E+00,-6.10E+00
3.58E+00,-1.27E+00,-6.06E+00
3.63E+00,-3.35E+00,-6.15E+00
3.67E+00,-3.35E+00,-6.10E+00
3.71E+00,-1.89E+00,-7.58E+00
3.75E+00,-3.53E+00,-7.83E+00
3.79E+00,-4.28E+00,-7.78E+00
3.83E+00,-5.22E+00,-7.79E+00
3.88E+00,-7.78E+00,-6.15E+00
3.92E+00,-8.32E+00,-6.14E+00
3.96E+00,-9.04E+00,-6.15E+00
4.00E+00,-9.59E+00,-6.16E+00
4.04E+00,-1.08E+01,-6.21E+00
4.08E+00,-9.46E+00,-5.80E+00
4.13E+00,-1.02E+01,-5.84E+00
4.17E+00,-1.10E+01,-5.87E+00
4.21E+00,-1.10E+01,-7.22E+00
4.25E+00,-1.10E+01,-4.88E+00
4.29E+00,-1.10E+01,-3.85E+00
4.33E+00,-1.10E+01,-3.87E+00
4.38E+00,-1.10E+01,-3.88E+00
4.42E+00,-1.10E+01,-3.90E+00
4.46E+00,-1.10E+01,-3.91E+00
4.50E+00,-1.10E+01,-3.91E+00
4.54E+00,-1.10E+01,-3.91E+00
4.58E+00,-1.10E+01,-3.94E+00
4.63E+00,-1.10E+01,-3.94E+00
4.67E+00,-1.10E+01,-3.94E+00
4.71E+00,-1.10E+01,-3.95E+00
4.75E+00,-1.10E+01,-3.95E+00
4.79E+00,-1.10E+01,-3.96E+00
4.83E+00,-1.10E+01,-3.98E+00
4.88E+00,-1.10E+01,-4.01E+00
4.92E+00,-1.10E+01,-4.01E+00
4.96E+00,-1.10E+01,-4.03E+00
5.00E+00,-1.10E+01,-4.04E+00
5.04E+00,-1.10E+01,-4.04E+00
5.08E+00,-1.10E+01,-4.07E+00
5.13E+00,-1.10E+01,-4.08E+00
5.17E+00,-1.10E+01,-4.09E+00
5.21E+00,-1.10E+01,-4.09E+00
5.25E+00,-1.10E+01,-4.10E+00
5.29E+00,-1.10E+01,-4.11E+00
5.33E+00,-1.10E+01,-4.12E+00
5.38E+00,-1.10E+01,-4.12E+00
5.42E+00,-1.10E+01,-4.13E+00
5.46E+00,-1.10E+01,-4.14E+00
5.50E+00,-1.10E+01,-4.16E+00
5.54E+00,-1.10E+01,-4.18E+00
5.58E+00,-1.10E+01,-4.19E+00
5.63E+00,-1.10E+01,-4.19E+00
5.67E+00,-1.10E+01,-4.19E+00
5.71E+00,-1.09E+01,-4.20E+00
5.75E+00,-1.10E+01,-4.19E+00
5.79E+00,-1.10E+01,-4.22E+00
5.83E+00,-1.10E+01,-4.23E+00
5.88E+00,-1.10E+01,-4.22E+00